LineNumber,Section,Sentence_excerpt,Recommended_Citation_Keys,Justification
1100,"Appendix D Observable","SPARC provides baryonic mass models and high-quality rotation curves for 175 disk galaxies. Define Δ(R) operationally as the signed residual between the observed and baryonic expectations",McGaughSchombert2014ML Ivezic2019LSST,High-quality photometric and kinematic observables from SPARC and future LSST surveys
1150,"Appendix C X-ray Data","X-ray proxy (stacked Chandra img2 maps): HEASARC-served image products were stacked into a common WCS grid using morphology/centroid proxy for hot intracluster medium (ICM)",Weisskopf2002Chandra HEASARC2025Archive Fruscione2006CIAO,Chandra X-ray observatory capabilities and HEASARC archive infrastructure for high-energy astrophysical data
1165,"Appendix C Methods","For reproducibility, the X-ray proxy construction follows a lightweight procedure: each img2 image is divided by a scalar exposure keyword, reprojected onto a common WCS grid",Fruscione2006CIAO MAST2019HFF Weisskopf2002Chandra,CIAO data analysis software for Chandra processing and MAST archive system for Hubble Frontier Fields data
1200,"Appendix C Morphology","This definition is intentionally simple and falsifiable: it is fixed across clusters, teams, and thresholds, with only the ROI radius swept to quantify footprint sensitivity.",MAST2019HFF Weisskopf2002Chandra Fruscione2006CIAO,Standard X-ray and lens modeling data from public archives demonstrate reproducible multi-team systematics analysis
1240,"Abstract - Cyclicity","A cymatics-inspired extension explores oscillatory signatures in residuals as eigenmodes of a linearized response operator, providing a spectral taxonomy for response morphologies",Rossing1982Chladni Tuan2014Nodal BenderOrszag1999,Cymatic and nodal analysis framework for interpreting oscillating patterns in velocity residuals across galaxy sample
1270,"Executive Summary","Each galaxy entry includes the observed circular velocity V_obs(R) with uncertainties, the baryonic rotation-curve components (stellar disk, gas, and where relevant, stellar bulge)",McGaughSchombert2014ML RubinFord1970M31 Bosma1978Thesis,Galaxy component decomposition methodology and historical observations establishing rotation curve measurement techniques
1290,"Discussion - CDM Role","The Lambda Cold Dark Matter (ΛCDM) model stands as the standard paradigm of cosmology, a testament to its success in explaining phenomena from the Cosmic Microwave Background (CMB) to large-scale structure",Riess2019LMC Ivezic2019LSST Euclid2022WideSurvey Euclid2025Overview,Comprehensive observational tests from CMB to large-scale structure that any CDM alternative must satisfy
1310,"Historical Lesson","The Vulcan episode provides a cautionary tale: gravitational anomalies initially attributed to unseen matter ultimately revealed a deeper geometric structure.",LeVerrier1859Mercury Einstein1915Mercury Einstein1916GR,Historical parallel between Mercury perihelion anomaly (Vulcan vs GR) and contemporary dark matter puzzle (particles vs geometry)
1340,"Conservation Constraint","If exchange between sectors is allowed, this predicts a (possibly screened) fifth-force/equivalence-principle violation sector that must be stated explicitly.",PoissonWill2014 Wald1984GR,Theoretical framework for fifth forces and equivalence principle violations in extended gravity theories
1360,"Metric Equivalence","As a first working hypothesis, we assume the response sector produces Φ ≈ Ψ (zero slip) in the galaxy quasi-static regime.",Wald1984GR Carroll2019Spacetime,Metric equivalence principle from canonical GR: default assumption until lensing data force branch point decision
1400,"Survey Prospects","Demonstrated that the response sector can cluster appropriately and match background distances. Upcoming surveys will provide lensing and cosmological tests.",Ivezic2019LSST Euclid2022WideSurvey Euclid2025Overview Scaramella2022EuclidWide,Future wide-field surveys (LSST Euclid) will provide weak lensing and growth rate measurements to test cosmological predictions
